"Zipcode","ResponseId","Usage","Q5","Q11._1","Q11._2","Q11._3","Q11._4","Q11._5","Q11._6","Q11._7","Q11._8","Q11._9","Q13._1","Q13._2","Q13._3","Q13._4","Q13._5","Q13._6","Q13._7","Q13._8","Q13._9","Q24","Q25","Income","White","Asian","Pacific_Islander","Latino","Black","Native","Male","Female","NB","Area","Distance","EJ_Bin"
NA,"R_1D60hn7jKh9HLM6",4,"Swimming or bodysurfing","4","2","4","4","4","4","5","2","4","4","4","4","4","4","4","3","4","4","White","Male",3,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_i7DF742pEt32jRF",2,"Driving or sitting in your car to enjoy the views/sunsets","4","4","4","4","4","4","4","4","4","3","4","3","3","4","3","4","4","4","Hispanic or Latino","Male",1,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_mpfWXI3vq9q9lbV",5,"Meditation, reading, and/or relaxing","5","3","3","3","3","1","1","2",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"White","Male",1,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_6CHJMX7etH0VSKs",4,"Group or family gatherings or activities (e.g., family outing, bbq)",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"Hispanic or Latino","Male",NA,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_3D78tEUipAiTktJ",5,"Beach games or sports (e.g., frisbee, volleyball, yoga)","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Black or African American","Female",2,0,0,0,0,1,0,0,1,0,NA,NA,NA
NA,"R_2zU5LbnkJq2uyBT",4,"Swimming or bodysurfing","3","2","3","4","5","5","5","5","5","5","5","5","5","5","3","3","5","5",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_6TXljK15uXfGf6L",3,"Walking or running","4","3","3","3","2","4","4","2","4","4","3","4","2","3","4","4","2","4","White","Male",NA,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_9pBKbms8TZIRccm",4,"Fishing or collecting food","4","2","4","4","5","4","5","4","4","4","4","4","4","4","3","4","4","4","Hispanic or Latino","Male",1,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_afSBMy8UIFJNRuC",5,"Walking or running","5",NA,NA,NA,NA,"5","5","5","5","5","5","5",NA,NA,NA,NA,"5","5","Hispanic or Latino","Male",NA,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_7VCrMPYtOvYeP4k",4,"Observing or photographing nature or wildlife, outdoor education","3","3","4","4","4","5","4","3","5","4","4","5","5","5","5","4","5","4",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_hyDfksVxIrBWEf7",4,"Group or family gatherings or activities (e.g., family outing, bbq)","4",NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Hispanic or Latino",NA,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA
NA,"R_aLo5YEKUvuAohT2",5,"Beach games or sports (e.g., frisbee, volleyball, yoga)","5","5","5","5","5","5","5","5","5","4","5","5","5","4","5","5","5","5","American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Middle Eastern or North African,Native Hawaiian or Pacific Islander,White,Other,Choose not to answer","Male",2,1,1,1,1,1,1,1,0,0,NA,NA,NA
NA,"R_5VsSDdZI9phZdqt",4,"Walking or running","2","4","4","4","4","5","5","4","5","5","5","4","2","5","4","5","5","2",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_6TC1RPFJjJvdhsB",3,"Walking or running","1","4","4","4","4","3","4","1","1","1","1","1","4","4","4","4","4","4","Black or African American","Female",NA,0,0,0,0,1,0,0,1,0,NA,NA,NA
NA,"R_mciy0usVwOTPqjR",3,"Surfing","5","5","4","4","4","4","4","4","4","4","4","4","4","5","4",NA,"3","4","Native Hawaiian or Pacific Islander","Male",NA,0,0,1,0,0,0,1,0,0,NA,NA,NA
NA,"R_1Pi4JfwS3yvEiKU",4,"Group or family gatherings or activities (e.g., family outing, bbq)","3","3","3","3","3","3","3","3","3","3","5","3","5","3","3","3","3","3","Hispanic or Latino,White","Male",NA,1,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_7MzgDPQcE6KVxk4",3,"Fishing or collecting food","4","3","4","4","3","4","4","4","5","5","4","4","3","5","4","4","4","4","White","Male",2,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_4QJVaYjy0LtMG5U",5,"Surfing","1","1","3","4","3","5","5","5","4","5","5","4","2","4","2","4","5","4","White",NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_8CFKOV9AaZ0rEL6",4,"Walking or running","5",NA,NA,"4",NA,NA,NA,"2",NA,"4","3","4","4","3","2","2","3","2","White","Male",NA,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_6JL3JnnWXJMsmyC",5,"Fishing or collecting food","3","4","4","4","4","4","5","4","5","5","5","5","4","5","4","5","5","4","White","Male",NA,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_3p1kNL9PUbGROjn",4,"Walking or running","4","1","4","4","3","4","4","4","5","4","5","5","4","4","5","4","5","5","Hispanic or Latino","Male",NA,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_1kNVOPrjTgY5CCk",3,"Observing or photographing nature or wildlife, outdoor education","4","2","4","4","5","5","5","5","5","5","5","5","2","2","2","2","4","2",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_7TYMyboddxXjgXe",4,"Surfing","5","5","5","4","5","1","5","5","5","5","5","5","5","5","5","4","4","4","White","Male",2,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_dKB0NYoKFfaK5OC",3,"Meditation, reading, and/or relaxing","4","2","3","3","3","4","4","1","3","4","4","4","3","3","3","3","2","3","Hispanic or Latino","Male",1,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_5i5mTvnZaIeJrmR",4,"Walking or running","3","3","1","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","Asian","Female",3,0,1,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_3WIr7es3WAdGmoN",2,"Beach games or sports (e.g., frisbee, volleyball, yoga)","3","3","3","3","3","4","4","4","3","2","3","3","3","3","4","4","4","4","Black or African American","Female",3,0,0,0,0,1,0,0,1,0,NA,NA,NA
NA,"R_62Lse0eFU1EeqMp",4,"Observing or photographing nature or wildlife, outdoor education","5","4","4","4","4","5","4","5","5","4","4","4","4","4","4","4","4","4","Asian","Female",1,0,1,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_3uoEh7oyG7NEl7r",2,"Walking or running","4","4","4","2",NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","White","Female",NA,1,0,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_7PWVmbIIsVoeaPv",5,"Walking or running","5","4","4","4","3","3","5","5","5","4","5","5","3","4","4","3","4","3","White","Female",3,1,0,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_1rvliuJBzRZlYNO",5,"Beach games or sports (e.g., frisbee, volleyball, yoga)","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","Hispanic or Latino",NA,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA
NA,"R_9u6OGYNQGrYwrtm",4,"Fishing or collecting food","5","2","2","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","Hispanic or Latino","Male",1,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_35exAlpZATE0W6l",5,"Walking or running","3","3","3","1","4","4","5","4","5","4","4","4","2","4","2","4","3","2",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_1IGlkXG6iwmSFNa",3,"Fishing or collecting food","3","3","3","3","3","3","3","3","3","4","5","2","1","3","4","4","5","3","Black or African American","Non-binary",1,0,0,0,0,1,0,0,0,1,NA,NA,NA
NA,"R_6NPT9W6haHlUwfb",4,"Driving or sitting in your car to enjoy the views/sunsets","5","3","3","3","5","3","5","3","3","3","4","5","5","3","3","5","5","5",NA,"Female",1,0,0,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_lK4hZblCnCOMYAi",2,"Meditation, reading, and/or relaxing","5","3",NA,"2","3","5","5","5","5","4","5","4","4","2","2","4","4","3","American Indian or Alaska Native,Hispanic or Latino","Female",1,0,0,0,1,0,1,0,1,0,NA,NA,NA
NA,"R_7mWvP50Z8fXOcCf",4,"Fishing or collecting food","5","2","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5",NA,NA,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_6zUzMkM0aAghoy2",5,"Fishing or collecting food","1","3","3","4","3","4","4","4","4","4","4","4","4","4","4","4","3","3",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_2AJUjhjhoDPISZW",4,"Fishing or collecting food",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","1","4","3","3","3","3",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_7CPMDQoFUK60F28",4,"Walking or running","4","3","4","5","3","4","5","3","5","4","5","4","3","4","4","4","4","4","Hispanic or Latino","Male",3,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_aWCVizpA8XcteBI",3,"Cultural or religious practices or ceremonies","4","4","3","5","5","4","5","5","5","3","3","3","3","4","3","3","4","4","Asian","Female",NA,0,1,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_6c6LiTAJtC1DmRF",5,"Sailing/Boating (engine powered)","3","3","4","4","3",NA,"1","1","1","5","5","5","4","5","4","2","4","3",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_0elrrUZAjIOJYcr",3,"Driving or sitting in your car to enjoy the views/sunsets","4","3","4","4","4","4","4","3","4","3","4","4","4","4","4","4","4","4","Hispanic or Latino","Male",NA,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_1CjO37Jq0OozhBL",4,"Swimming or bodysurfing","4","3","3","3","4","4","4","3","4","4","4","4","4","4","4","4","4","3",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_1hSUR9lF5vIoObM",5,"Bicycling, roller skating, skateboarding, etc","4","4","4","4","4","4","4","4","4","4","4","4","4","3","2","3","4","4","Hispanic or Latino","Male",NA,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_0jNW9sSaYFxbEHA",2,"Driving or sitting in your car to enjoy the views/sunsets","1","1","3","4","2","3","5","1","4","1","4","5","3","1","1","1","5","5",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_61AVmg2rmlpU1jQ",5,"Fishing or collecting food","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","White","Male",NA,1,0,0,0,0,0,1,0,0,NA,NA,NA
NA,"R_5aJLVJd0PWZB7sI",4,"Meditation, reading, and/or relaxing","1","2","1","2","5","4","5","5","4","4","4","4","4","4","4","4","4","4","Black or African American","Male",2,0,0,0,0,1,0,1,0,0,NA,NA,NA
NA,"R_7lgVYDFH1FNlXnc",3,"Observing or photographing nature or wildlife, outdoor education","2","2","4","4","4","4","4","4","4","4","4","4","3","3","3","4","4","4","Hispanic or Latino","Female",2,0,0,0,1,0,0,0,1,0,NA,NA,NA
NA,"R_37qim6fmZHtV9LR",4,"Swimming or bodysurfing","2","2","3","4","4","5","4","4","5","4","4","4","4","4","4","4","4","4","Hispanic or Latino","Male",2,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_3D1zHNVSdeAgavA",3,"Paid work","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Hispanic or Latino","Male",NA,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_1S2bYIjiCrJ414h",5,"Bicycling, roller skating, skateboarding, etc","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Black or African American","Female",1,0,0,0,0,1,0,0,1,0,NA,NA,NA
NA,"R_5gpUMR135Ht9E1n",4,"Surfing","1","1","4","4","4","4","4","4","4","4","4","4","4","3","3","3","2","3",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_1ocgQU0C2vj17mk",3,"Group or family gatherings or activities (e.g., family outing, bbq)","4","2","4","5","4","5","5","4","5","4","3","3","1","4","2","3","4","4","Hispanic or Latino","Male",1,0,0,0,1,0,0,1,0,0,NA,NA,NA
NA,"R_1NrADFSdvJnDbf9",3,"Meditation, reading, and/or relaxing","3","2","4","4","4","5","4","4","5","4","4","5","3","4","3","4","5","4",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_5laUJQlbIA4w2uM",4,"Bicycling, roller skating, skateboarding, etc","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Asian","Female",1,0,1,0,0,0,0,0,1,0,NA,NA,NA
NA,"R_b6S5gTABAK0j6Sz",5,"Paid work","2",NA,NA,"2","5","5","5","5","3","5","5","2","3","1","2","2","2","2","Hispanic or Latino","Female",1,0,0,0,1,0,0,0,1,0,NA,NA,NA
NA,"R_12svUX3piznnPvu",5,"Surfing","5","3","4","4","4","5","5","5","5","4","4","4","3","4","4","4","4","3",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_oNd6aNPXPt6Bd1s",5,"Surfing","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","2","American Indian or Alaska Native,White","Male",1,1,0,0,0,0,1,1,0,0,NA,NA,NA
NA,"R_7dH83hxbZAXFVAS",1,NA,"4","5","1","2","3","4","5","4","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
NA,"R_iKCh26PkLeVXmmY",3,"Surfing","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","White","Male",1,1,0,0,0,0,0,1,0,0,NA,NA,NA
"21156","R_3VEnnY7LyogsC3v",5,"Swimming or bodysurfing","2","2","3","5","2","5","5","5","5","5","5","3","4","5","2","5","5","4","White","Male",1,1,0,0,0,0,0,1,0,0,NA,NA,NA
"72744","R_ddp0insloL7PIIM",3,"Meditation, reading, and/or relaxing","3","3","4","4","4","5","5","3","5","4","5","4","3","3","4","3","1","2","Asian","Male",NA,0,1,0,0,0,0,1,0,0,NA,NA,NA
"75012","R_1e8WPq63TxkfRvD",5,"Fishing or collecting food","5","4","5","5","5","5","5","5","5","5","5","4","2","5","2","5","5","5",NA,NA,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
"82691","R_1qfTMHXCCmX4CVq",5,"Fishing or collecting food","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","White","Male",2,1,0,0,0,0,0,1,0,0,NA,NA,NA
"83605","R_6LDR5h10UPrdv4R",2,"Meditation, reading, and/or relaxing","3","2","5","5","5","5","5","5","5","5","5","4","4","5","5","4","5","5","White,Other","Male",2,1,0,0,0,0,0,1,0,0,NA,NA,NA
"85704","R_7MAox9VNJy7BwsI",4,"Observing or photographing nature or wildlife, outdoor education","1","1","5","5","5","4","5","5","5","5","5","5","3","5","4","5","5","5","Hispanic or Latino","Female",3,0,0,0,1,0,0,0,1,0,NA,NA,NA
"86438","R_6PoNmIl5vyAnkC6",3,"Meditation, reading, and/or relaxing","2","2","2","5","5","3","4","5","5","4","4","4","4","3","4","1","4","4","White","Male",2,1,0,0,0,0,0,1,0,0,NA,NA,NA
"87024","R_5QV9AbEbpKRkYAV",3,"Group or family gatherings or activities (e.g., family outing, bbq)","5","2","5","4","5","3","5","4","4","3","2","2","3","3","2","3","4","4","American Indian or Alaska Native","Female",2,0,0,0,0,0,1,0,1,0,NA,NA,NA
"89705","R_19aCpM5OtXzBTNT",3,"Observing or photographing nature or wildlife, outdoor education","3","3","3","5",NA,"4","4","4","4","4","3","3","3","3","2","3","3","3","White","Female",NA,1,0,0,0,0,0,0,1,0,NA,NA,NA
"90004","R_61RBcX5hb7Ovd3c",3,"Group or family gatherings or activities (e.g., family outing, bbq)","3","1","3","3","3","5","4","3","4","5","5","5","4","5","5","4","5","3","Asian","Female",5,0,1,0,0,0,0,0,1,0,"South",4,5
"90016","R_6B3XTKuqmiKKQJs",3,"Walking or running","4","2","3","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","Hispanic or Latino","Female",5,0,0,0,1,0,0,0,1,0,"South",4,5
"90018","R_5qxQIY8GAt1KpXL",3,"Swimming or bodysurfing","3","2","3","4","3","4","4","4","5","4","4","4","4","4","4","4","4","4","Black or African American,Hispanic or Latino","Female",1,0,0,0,1,1,0,0,1,0,"South",4,5
"90019","R_31JgDPdNpeMBU3v",3,"Walking or running","3","3","4","4","4","4","4","4","4","3","5","5","4","3","4","3","3","3","White","Male",1,1,0,0,0,0,0,1,0,0,"South",4,5
"90028","R_19dccgjg6UV4WSy",3,"Fishing or collecting food","2","2","4","4","4","4","4","3","5","4","4","4","4","4","4","3","4","4","White","Male",3,1,0,0,0,0,0,1,0,0,"South",4,5
"90032","R_6CxsGEJSfwO49Mv",3,"Surfing","2","1","4","4","5","5","5","5","5","5","4","4","3","5","4","2","4","3","Hispanic or Latino","Female",3,0,0,0,1,0,0,0,1,0,"South",5,5
"90034","R_3bOSCNLOUwHviRM",5,"Fishing or collecting food","5","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","White","Male",2,1,0,0,0,0,0,1,0,0,"South",3,4
"90034","R_5HbZpepeD9HPqr5",4,"Swimming or bodysurfing","5","1","3","4","4","4","4","4","5","5","5","5","5","5","5","4","5","5","White","Male",1,1,0,0,0,0,0,1,0,0,"South",3,4
"90034","R_341qn9jgOSbauAp",4,"Group or family gatherings or activities (e.g., family outing, bbq)","4","1","3","4","4","4","4","5","4","5","5","5","2","2","2","4","4","4","Asian","Female",2,0,1,0,0,0,0,0,1,0,"South",3,4
"90034","R_1j7dQl5MUyBoST0",4,"Walking or running","4","1","3","4","4","2","4","4",NA,"4","4","4","4","4","2","4","4","4","Asian","Male",1,0,1,0,0,0,0,1,0,0,"South",3,4
"90041","R_5rYkIu0eNtWuNkP",3,"Swimming or bodysurfing","4","1","3","3","5","4","4","3","4","4","4","4","3","4","3","3","5","2","Asian,White","Male",NA,1,1,0,0,0,0,1,0,0,"South",5,4
"90044","R_5r8dQoVz0UyQ1rC",2,"Swimming or bodysurfing","4","2","3","4","3","4","4","2","5","4","4","4","3","4","3","4","4","4","Hispanic or Latino","Male",2,0,0,0,1,0,0,1,0,0,"South",4,5
"90045","R_18ZhzabLu7XWaVB",4,"Fishing or collecting food","2","1","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","Middle Eastern or North African","Male",NA,0,0,0,0,0,0,1,0,0,"South",3,3
"90061","R_1GO32Y4qfhOVG7k",3,"Meditation, reading, and/or relaxing","2","2","4","4","2","5","5","5","5","5","5","4","2","5","1","2","5","1","Black or African American","Female",1,0,0,0,0,1,0,0,1,0,"South",4,5
"90066","R_7edVsPT6CY8JTs0",5,"Paid work","5","5","5","3","5","5","5","5","5","5","4","4","1","4","3","1","4","1","White","Male",2,1,0,0,0,0,0,1,0,0,"South",3,3
"90066","R_5nVHpUp56lcC2Q1",5,"Meditation, reading, and/or relaxing","4","2","4","5","3","5","5","4","5","5","5","5","4","5","4","4","4","3","White","Male",1,1,0,0,0,0,0,1,0,0,"South",3,3
"90066","R_1rYNQIZWlLayWHn",5,"Surfing","5","4","5","5","5","5","5","5","5","5","3","4","3","5","5","5","5","3","White","Male",5,1,0,0,0,0,0,1,0,0,"South",3,3
"90066","R_7CZQD19kUrYnXjH",4,"Meditation, reading, and/or relaxing","3","4","4","4","5","4","4","4","4","5","4","4","4","4","4","4","4","4","White","Male",3,1,0,0,0,0,0,1,0,0,"South",3,3
"90220","R_gW75fvodhM5LOjh",2,"Cultural or religious practices or ceremonies","4","3","3","3","5","2","4","5","5","5","5","5","3","2","2","3","5","5","American Indian or Alaska Native,Hispanic or Latino","Male",2,0,0,0,1,0,1,1,0,0,"South",4,5
"90230","R_52IlX2aOJZAMF6p",3,"Bicycling, roller skating, skateboarding, etc","1","1","3","3","3","4","4","4","5","4","3","5","1","4","4","2","4","1","White","Female",2,1,0,0,0,0,0,0,1,0,"South",3,5
"90254","R_7s5RSfL5cIhO56Q",5,"Fishing or collecting food","4","4","5","5","4","5","5","4","4","5","4","5","4","5","5","4","5","3","Asian","Female",2,0,1,0,0,0,0,0,1,0,"South",1,1
"90266","R_59MpN0aqK4xJIC5",4,"Fishing or collecting food","1","1","5","5","2","5","5","5","5","5","5","5","3","5","5","4","5","5","White","Male",5,1,0,0,0,0,0,1,0,0,"South",1,1
"90270","R_8ZUlCTRv01g0mDu",3,"Observing or photographing nature or wildlife, outdoor education","4","1","5","5","5","5","5","5","5","5","4","4","4","1","2","2","2","2","Hispanic or Latino","Female",1,0,0,0,1,0,0,0,1,0,"South",4,5
"90272","R_13aAhJ8ZxZF7bot",1,NA,"4","1","4","3","5","2","4","3","5","4","4","5","3","2","5","4","5","3","White","Male",5,1,0,0,0,0,0,1,0,0,"South",2,1
"90278","R_5w7VFAX5Y5aGnND",4,"Fishing or collecting food","5","5","5","5","3","5","5","5","5","5","5","5","2","4","4","3","4","3","Native Hawaiian or Pacific Islander,White","Male",3,1,0,1,0,0,0,1,0,0,"South",2,1
"90290","R_1x1GFaZgrpfCyQh",4,"Swimming or bodysurfing","3","2","4","4","4","5","3","2","3","5","4","4","2","3","4","3","4","3","White","Male",3,1,0,0,0,0,0,1,0,0,"South",3,1
"90291","R_6duf8IrCUnW96Eg",5,"Walking or running","3","2","4","4","3","5","5","5","5","5","5","4","1","5","4","1","4","1",NA,NA,2,0,0,0,0,0,0,0,0,0,"South",1,3
"90291","R_3lFubmQFhfKaIXD",3,"Swimming or bodysurfing","4","1","3","4","1","4","4","3","5","5","5","5","5","5","5","5","5","4","White","Female",3,1,0,0,0,0,0,0,1,0,"South",1,3
"90291","R_7U3l8ffD9TZwRBN",5,"Walking or running","3","3","1","4","4","4","5","3","5","4","5","4","4","3","4","4","4","4",NA,"Female",2,0,0,0,0,0,0,0,1,0,"South",1,3
"90405","R_12fEmHm22ac4tck",4,"Fishing or collecting food","4","2","5","5","3","5","5","5","5","5","4","4","4","5","4","4","4","3","White","Male",5,1,0,0,0,0,0,1,0,0,"South",1,3
"90405","R_5qJBofy7rYIedVt",5,"Walking or running","4","1","5","5","2","4","5","4","5","5","5","5","4","5","4","2","4","2","White","Female",2,1,0,0,0,0,0,0,1,0,"South",1,3
"90433","R_conZrrtrILmKdj3",4,"Beach games or sports (e.g., frisbee, volleyball, yoga)","3","2","5","5","5","4","5","4","5","3","5","3","2","3","2","2","3","4","Hispanic or Latino","Female",1,0,0,0,1,0,0,0,1,0,NA,NA,NA
"90504","R_635wGqeqMUbEJih",4,"Fishing or collecting food","5","5","5","5","3","5","3","3","5","5","4","4","4","5","5","5","5","5","Asian","Male",3,0,1,0,0,0,0,1,0,0,"South",4,4
"90505","R_72hdblPkZokpSHg",4,"Fishing or collecting food","4","3","5","5","5","5","5","5","5","5","5","5","3","5","5","5","4","5","White","Male",2,1,0,0,0,0,0,1,0,0,"South",2,3
"90505","R_dlvOfkFVQtgzCuF",5,"Surfing","2","2","4","4","2","4","5","4","5","5","5","5","5","5","5","4","3","3","White","Female",5,1,0,0,0,0,0,0,1,0,"South",2,3
"90512","R_5oKz98ifin5XKju",4,"Group or family gatherings or activities (e.g., family outing, bbq)","4","1","4","4","4","4","4","4","4","5","4","4","4","4","2","3","4","4","Hispanic or Latino","Female",1,0,0,0,1,0,0,0,1,0,NA,NA,NA
"90604","R_2bZ8pZahL7Y8FZv",3,"Observing or photographing nature or wildlife, outdoor education","3","2","5","5","4","5","5","5","5","5","5","4","4","2","2","3","5","4","Hispanic or Latino","Female",1,0,0,0,1,0,0,0,1,0,"South",4,4
"90630","R_7EfJii6tofWPBte",3,"Bicycling, roller skating, skateboarding, etc","3","3","1","1","1","1","1","3","1","5","5","5","4","4","4","4","4","4","Asian,White",NA,NA,1,1,0,0,0,0,0,0,0,"South",3,3
"90650","R_31Hvv4TNic9piPR",5,"Fishing or collecting food","4","1","4","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","Hispanic or Latino","Male",2,0,0,0,1,0,0,1,0,0,"South",4,5
